font_name,accuracy,font_size,vox_atypl,underlined,bold
DeRoos,96.88%,24,humanistic,True,False
DeRoos,95.64%,26,humanistic,True,False
DeRoos,95.64%,28,humanistic,True,False
DeRoos,96.26%,30,humanistic,True,False
DeRoos,93.15%,32,humanistic,True,False
DeRoos,95.95%,34,humanistic,True,False
perpetua,20.56%,10,humanistic,True,False
perpetua,19.63%,12,humanistic,True,False
perpetua,19.63%,14,humanistic,True,False
perpetua,19.63%,16,humanistic,True,False
perpetua,19.00%,18,humanistic,True,False
perpetua,19.31%,20,humanistic,True,False
perpetua,18.38%,22,humanistic,True,False
perpetua,19.31%,24,humanistic,True,False
perpetua,18.07%,26,humanistic,True,False
perpetua,18.07%,28,humanistic,True,False
perpetua,19.63%,30,humanistic,True,False
perpetua,18.07%,32,humanistic,True,False
perpetua,19.00%,34,humanistic,True,False
AshleyScriptMTStdRg,97.51%,10,humanistic,False,False
AshleyScriptMTStdRg,97.51%,12,humanistic,False,False
AshleyScriptMTStdRg,97.20%,14,humanistic,False,False
AshleyScriptMTStdRg,97.20%,16,humanistic,False,False
AshleyScriptMTStdRg,96.88%,18,humanistic,False,False
AshleyScriptMTStdRg,96.88%,20,humanistic,False,False
AshleyScriptMTStdRg,95.02%,22,humanistic,False,False
AshleyScriptMTStdRg,96.26%,24,humanistic,False,False
AshleyScriptMTStdRg,96.26%,26,humanistic,False,False
AshleyScriptMTStdRg,95.95%,28,humanistic,False,False
AshleyScriptMTStdRg,95.95%,30,humanistic,False,False
AshleyScriptMTStdRg,95.33%,32,humanistic,False,False
AshleyScriptMTStdRg,95.33%,34,humanistic,False,False
Centaur-Regular,71.96%,10,humanistic,False,False
Centaur-Regular,97.51%,12,humanistic,False,False
Centaur-Regular,97.20%,14,humanistic,False,False
Centaur-Regular,90.65%,16,humanistic,False,False
Centaur-Regular,81.00%,18,humanistic,False,False
Centaur-Regular,96.57%,20,humanistic,False,False
Centaur-Regular,89.10%,22,humanistic,False,False
Centaur-Regular,92.52%,24,humanistic,False,False
Centaur-Regular,80.69%,26,humanistic,False,False
Centaur-Regular,73.52%,28,humanistic,False,False
Centaur-Regular,87.54%,30,humanistic,False,False
Centaur-Regular,95.33%,32,humanistic,False,False
Centaur-Regular,94.39%,34,humanistic,False,False
DeRoos,93.77%,10,humanistic,False,False
