font_name,accuracy,font_size,vox_atypl,underlined,bold
vendomeregular,96.57%,14,garaldes,False,False
vendomeregular,95.33%,28,garaldes,False,False
grandjean,18.69%,22,garaldes,False,False
DeRoos,95.02%,20,garaldes,False,False
DeRoos,96.26%,12,garaldes,False,False
DeRoos,95.02%,30,garaldes,False,False
vendomeregular,95.64%,26,garaldes,False,False
Garamond Regular,96.26%,12,garaldes,True,False
vendomeregular,95.33%,32,garaldes,True,False
Bembo-Bold-Font,96.57%,12,garaldes,True,False
grandjean,18.69%,30,garaldes,True,False
Garamond Regular,96.57%,14,garaldes,False,False
Bembo-Bold-Font,93.77%,34,garaldes,False,True
Bembo-Bold-Font,94.70%,16,garaldes,True,False
grandjean,18.07%,16,garaldes,True,False
Bembo-Bold-Font,96.57%,10,garaldes,True,False
DeRoos,91.59%,18,garaldes,True,False
grandjean,18.07%,28,garaldes,False,False
grandjean,16.82%,20,garaldes,False,False
Garamond Regular,95.33%,34,garaldes,False,False
DeRoos,93.77%,20,garaldes,True,False
vendomeregular,95.64%,20,garaldes,False,False
vendomeregular,96.57%,16,garaldes,False,False
Bembo-Bold-Font,95.33%,28,garaldes,False,True
City Medium,93.77%,34,mechanistic,True,False
Clarendon-Regular,95.33%,22,mechanistic,False,False
Rockwell,94.39%,20,mechanistic,True,False
Clarendon-Regular,92.52%,32,mechanistic,False,False
City Medium,95.33%,24,mechanistic,False,False
Rockwell-Bold,93.77%,22,mechanistic,True,False
Rockwell-Bold,93.77%,28,mechanistic,True,False
Rockwell-Bold,95.33%,16,mechanistic,False,True
Caslon Ionic Web Regular Regular,95.33%,34,mechanistic,False,False
Rockwell-Bold,95.64%,22,mechanistic,False,True
Clarendon-Regular,96.57%,12,mechanistic,False,False
Rockwell,93.46%,26,mechanistic,True,False
CENTURY,95.33%,28,mechanistic,False,False
Caslon Ionic Web Regular Regular,93.46%,30,mechanistic,False,False
Rockwell,96.57%,10,mechanistic,False,False
Clarendon-Regular,95.64%,14,mechanistic,False,False
CENTURY,96.57%,10,mechanistic,False,False
CENTURY,96.26%,14,mechanistic,True,False
Rockwell,96.57%,10,mechanistic,True,False
City Medium,95.02%,26,mechanistic,False,False
Rockwell,93.15%,32,mechanistic,True,False
Rockwell-Bold,95.02%,26,mechanistic,False,True
City Medium,95.02%,32,mechanistic,False,False
CENTURY,92.83%,32,mechanistic,True,False
Rockwell,94.70%,32,mechanistic,False,False
CENTURY,94.08%,22,mechanistic,False,False
